id,timestamp,equipment_id,temperature,pressure,vibration,status
1,2025-11-26T08:00:00Z,MRI-01,65.2,1.8,0.02,normal
2,2025-11-26T08:05:00Z,MRI-01,65.4,1.79,0.021,normal
3,2025-11-26T08:10:00Z,MRI-01,65.0,1.77,0.019,normal
4,2025-11-26T08:15:00Z,MRI-01,74.5,2.4,0.06,failure
5,2025-11-26T08:20:00Z,VENT-02,61.2,1.45,0.015,normal
6,2025-11-26T08:25:00Z,VENT-02,61.0,1.47,0.016,normal
7,2025-11-26T08:30:00Z,VENT-02,69.5,1.95,0.05,failure
8,2025-11-26T08:35:00Z,XRAY-03,58.2,1.2,0.01,normal
9,2025-11-26T08:40:00Z,XRAY-03,58.4,1.19,0.011,normal
10,2025-11-26T08:45:00Z,XRAY-03,57.9,1.18,0.012,normal
11,2025-11-26T08:50:00Z,XRAY-03,66.5,1.85,0.045,failure
12,2025-11-26T08:55:00Z,PUMP-04,55.1,1.05,0.009,normal
13,2025-11-26T09:00:00Z,PUMP-04,55.0,1.04,0.008,normal
14,2025-11-26T09:05:00Z,PUMP-04,60.0,1.5,0.035,failure
15,2025-11-26T09:10:00Z,ICU-UPS,49.5,0.98,0.006,normal
16,2025-11-26T09:15:00Z,ICU-UPS,49.7,0.99,0.006,normal
17,2025-11-26T09:20:00Z,ICU-UPS,62.3,1.9,0.055,failure
18,2025-11-26T09:25:00Z,VENT-02,61.1,1.46,,normal
19,2025-11-26T09:30:00Z,MRI-01,65.3,1.8,,normal
20,2025-11-26T09:35:00Z,PUMP-04,55.2,1.03,,normal
